address,source,name,creation_date
FANN MERMOZ N° 4,http://creationdentreprise.sn/grid-west-africa-consulting-engineers-sarl,GRID WEST AFRICA CONSULTING ENGINEERS - SARL,14/11/2016
187 AVENUE LAMINE GUEYE X...,http://creationdentreprise.sn/teyliom-logistics-sa,TEYLIOM LOGISTICS -SA,14/11/2016
HLM GUENTABA LOT N° 76 DAKAR,http://creationdentreprise.sn/ndoumbelane-farm-poultry-motion-sarl,NDOUMBELANE FARM POULTRY IN MOTION- SARL,11/11/2016
OUAKAM CITE TOUBA ALMADIES...,http://creationdentreprise.sn/i-anoss-services-suarl,I-ANOSS SERVICES - SUARL,11/11/2016
LIBERTE 6 EXTENSION LOT N° 43,http://creationdentreprise.sn/saloum-agri-suarl,SALOUM AGRI- SUARL,11/11/2016
BEL AIR RESIDENCE MARINAS BIS...,http://creationdentreprise.sn/alfa-construction-et-investissement-immobilier-sarl,ALFA CONSTRUCTION ET INVESTISSEMENT IMMOBILIER -SARL,27/10/2016
ALMADIES RESIDENCE LES...,http://creationdentreprise.sn/atlantique-developpement-sarl,ATLANTIQUE DEVELOPPEMENT- SARL,27/10/2016
RUFISQUE OUEST DERRIERE HLM...,http://creationdentreprise.sn/societe-agro-industrielle-et-commerciale-du-senegal-sarl,SOCIETE AGRO INDUSTRIELLE ET COMMERCIALE DU SENEGAL- SARL,11/11/2016
SACRE COEUR PPYROTECHNIQUE...,http://creationdentreprise.sn/societe-sy-de-commerce-de-courtage-et-de-representation-sarl-syccor-sarl,SOCIETE SY DE COMMERCE DE COURTAGE ET DE REPRESENTATION -SARL /SYCCOR -SARL,14/11/2016
CITE DJILY MBAYE N° 361,http://creationdentreprise.sn/mng-consulting-suarl,MNG CONSULTING -SUARL,11/11/2016
ALMADIES EXTENSION ZONE 15...,http://creationdentreprise.sn/dimension-equipements-services-sarl-des-sarl,DIMENSION EQUIPEMENTS SERVICES - SARL / DES -SARL,20/12/2016
PARCELLES ASSAINIES KEUR...,http://creationdentreprise.sn/so-sense-sarl,SO SENSE - SARL,07/11/2016
DAKAR NGOR ALMADIES ZONE 12...,http://creationdentreprise.sn/essellesse-sa,ESSELLESSE - SA,31/10/2016
IMMEUBLE IMMOFRONT...,http://creationdentreprise.sn/groupe-les-echos-medias-suarl-glem-suarl,GROUPE LES ECHOS MEDIAS- SUARL /GLEM- SUARL,15/11/2016
SACRE COEUR X VDN IMMEUBLE...,http://creationdentreprise.sn/societe-civile-immobiliere-blue-sky-sci-blue-sky,SOCIETE CIVILE IMMOBILIERE BLUE SKY - SCI BLUE SKY,15/11/2016
MAMELLES RENAISSANCE VILLA N...,http://creationdentreprise.sn/international-business-group-sarl-ibg-sarl,INTERNATIONAL BUSINESS GROUP - SARL / IBG -SARL,15/11/2016
OUEST FOIRE VILLA N° 207,http://creationdentreprise.sn/new-thiouraye-mbaye-suarl-ntm-suarl,NEW THIOURAYE MBAYE- SUARL / NTM - SUARL,14/11/2016
MARISTE 1 IMMEUBLE LOT N° 2,http://creationdentreprise.sn/alif-industries-sarl,ALIF INDUSTRIES - SARL,07/11/2016
GIBRALTAR II VILLA N° 346,http://creationdentreprise.sn/comcenter-suarl,COMCENTER- SUARL,07/11/2016
YOFF AUTOROUTE SEYDINA...,http://creationdentreprise.sn/ker-yoff-sarl,KÊR YOFF-SARL,07/11/2016
CITE AINOUMADY KEUR MASSAR N...,http://creationdentreprise.sn/abn-innov-suarl,ABN INNOV-SUARL,28/10/2016
HANN MARISTES FORT B VILLA N°...,http://creationdentreprise.sn/city-chicken-suarl,CITY OF CHICKEN- SUARL,07/11/2016
"KM 7,5 BOULEVARD DU...",http://creationdentreprise.sn/tong-tong-sarl,TONG TONG - SARL,07/11/2016
LIBERTE 6 EXTENSION RESIDENCE...,http://creationdentreprise.sn/idelight-sarl,IDELIGHT - SARL,16/11/2016
HANN MARISTES FORT B VILLA N...,http://creationdentreprise.sn/west-safety-ltd-senegal-sarl,WEST SAFETY LTD SENEGAL- SARL,11/11/2016
RESIDENCE HACIENDA VILLA N° 54,http://creationdentreprise.sn/big-africa-sarl,BIG AFRICA -SARL,17/11/2016
PARCELLES ASSAINIES UNITÉ 14...,http://creationdentreprise.sn/savannah-sarl,SAVANNAH - SARL,16/11/2016
STATION SHELL IMMEUBLE...,http://creationdentreprise.sn/complexe-serigne-saliou-mbacke-sarl,COMPLEXE SERIGNE SALIOU MBACKE -SARL,17/11/2016
LIBERTE 6 EXTENSION N°23,http://creationdentreprise.sn/societe-civile-immobiliere-galoya-immo-sci-galoya-immo,SOCIETE CIVILE IMMOBILIERE GALOYA IMMO - SCI GALOYA IMMO,17/11/2016
THIAROYE KM 15 ROUTE DE...,http://creationdentreprise.sn/senrice-sarl,SENRICE - SARL,14/11/2016
